observation_date,ASPMW
1991-01-01,143200
1991-04-01,131500
1991-07-01,129000
1991-10-01,135100
1992-01-01,131300
1992-04-01,141500
1992-07-01,130600
1992-10-01,142600
1993-01-01,142500
1993-04-01,140700
1993-07-01,150900
1993-10-01,138800
1994-01-01,151000
1994-04-01,150600
1994-07-01,152900
1994-10-01,153500
1995-01-01,153100
1995-04-01,160500
1995-07-01,152500
1995-10-01,160000
1996-01-01,160200
1996-04-01,155900
1996-07-01,153500
1996-10-01,162700
1997-01-01,164400
1997-04-01,173000
1997-07-01,173200
1997-10-01,167900
1998-01-01,181100
1998-04-01,172900
1998-07-01,182100
1998-10-01,175800
1999-01-01,183500
1999-04-01,177300
1999-07-01,190600
1999-10-01,192000
2000-01-01,188900
2000-04-01,197700
2000-07-01,189900
2000-10-01,212700
2001-01-01,197700
2001-04-01,198200
2001-07-01,190500
2001-10-01,205300
2002-01-01,214500
2002-04-01,198700
2002-07-01,201200
2002-10-01,210500
2003-01-01,213700
2003-04-01,206500
2003-07-01,218500
2003-10-01,222500
2004-01-01,238400
2004-04-01,239800
2004-07-01,237900
2004-10-01,239400
2005-01-01,240400
2005-04-01,239700
2005-07-01,239400
2005-10-01,261800
2006-01-01,259200
2006-04-01,242300
2006-07-01,257200
2006-10-01,264600
2007-01-01,252000
2007-04-01,261600
2007-07-01,244700
2007-10-01,251700
2008-01-01,272800
2008-04-01,239100
2008-07-01,228100
2008-10-01,243800
2009-01-01,219600
2009-04-01,234000
2009-07-01,217700
2009-10-01,235300
2010-01-01,248000
2010-04-01,220500
2010-07-01,214400
2010-10-01,251100
2011-01-01,229400
2011-04-01,247500
2011-07-01,230400
2011-10-01,248200
2012-01-01,254300
2012-04-01,261000
2012-07-01,271700
2012-10-01,259000
2013-01-01,270300
2013-04-01,289600
2013-07-01,305700
2013-10-01,317900
2014-01-01,299000
2014-04-01,305700
2014-07-01,309600
2014-10-01,312400
2015-01-01,320200
2015-04-01,325300
2015-07-01,302000
2015-10-01,313600
2016-01-01,303800
2016-04-01,296500
2016-07-01,312500
2016-10-01,335200
2017-01-01,329200
2017-04-01,322300
2017-07-01,316500
2017-10-01,322800
2018-01-01,326300
2018-04-01,316600
2018-07-01,339500
2018-10-01,335300
2019-01-01,315900
2019-04-01,310600
2019-07-01,326800
2019-10-01,335300
2020-01-01,337000
2020-04-01,329200
2020-07-01,351200
2020-10-01,335100
2021-01-01,348900
2021-04-01,363800
2021-07-01,396100
2021-10-01,408100
2022-01-01,425000
2022-04-01,443500
2022-07-01,427600
2022-10-01,395300
2023-01-01,449300
2023-04-01,439400
2023-07-01,461900
2023-10-01,424000
2024-01-01,438000
2024-04-01,448500
2024-07-01,436100
2024-10-01,425200
