observation_date,ASPW
1991-01-01,186500
1991-04-01,176200
1991-07-01,175800
1991-10-01,164000
1992-01-01,156500
1992-04-01,160500
1992-07-01,161000
1992-10-01,156300
1993-01-01,160400
1993-04-01,160300
1993-07-01,163500
1993-10-01,164300
1994-01-01,169300
1994-04-01,167000
1994-07-01,165000
1994-10-01,176100
1995-01-01,164600
1995-04-01,169300
1995-07-01,173600
1995-10-01,169500
1996-01-01,177200
1996-04-01,189400
1996-07-01,187900
1996-10-01,190800
1997-01-01,193800
1997-04-01,199500
1997-07-01,195800
1997-10-01,203500
1998-01-01,197200
1998-04-01,197400
1998-07-01,207900
1998-10-01,199300
1999-01-01,217400
1999-04-01,215400
1999-07-01,218000
1999-10-01,241200
2000-01-01,237500
2000-04-01,237400
2000-07-01,228300
2000-10-01,253200
2001-01-01,242900
2001-04-01,247100
2001-07-01,247500
2001-10-01,257200
2002-01-01,274500
2002-04-01,275100
2002-07-01,272100
2002-10-01,280000
2003-01-01,283500
2003-04-01,293800
2003-07-01,324800
2003-10-01,325300
2004-01-01,317500
2004-04-01,337900
2004-07-01,345500
2004-10-01,362500
2005-01-01,374200
2005-04-01,386200
2005-07-01,396200
2005-10-01,387900
2006-01-01,399200
2006-04-01,413200
2006-07-01,409300
2006-10-01,415600
2007-01-01,418600
2007-04-01,414000
2007-07-01,388700
2007-10-01,383900
2008-01-01,354500
2008-04-01,375400
2008-07-01,360300
2008-10-01,358400
2009-01-01,311000
2009-04-01,336900
2009-07-01,317800
2009-10-01,318800
2010-01-01,326800
2010-04-01,322200
2010-07-01,306700
2010-10-01,295900
2011-01-01,291800
2011-04-01,311000
2011-07-01,294700
2011-10-01,298200
2012-01-01,319000
2012-04-01,313400
2012-07-01,313900
2012-10-01,325900
2013-01-01,342900
2013-04-01,355000
2013-07-01,372200
2013-10-01,413200
2014-01-01,400800
2014-04-01,391200
2014-07-01,393200
2014-10-01,420600
2015-01-01,408700
2015-04-01,391100
2015-07-01,409600
2015-10-01,427200
2016-01-01,414500
2016-04-01,439600
2016-07-01,437100
2016-10-01,438500
2017-01-01,434700
2017-04-01,432700
2017-07-01,451400
2017-10-01,486800
2018-01-01,456800
2018-04-01,483700
2018-07-01,463200
2018-10-01,478500
2019-01-01,457700
2019-04-01,464400
2019-07-01,471600
2019-10-01,477700
2020-01-01,471300
2020-04-01,453800
2020-07-01,488400
2020-10-01,496100
2021-01-01,539300
2021-04-01,538500
2021-07-01,606900
2021-10-01,630700
2022-01-01,632600
2022-04-01,667300
2022-07-01,685300
2022-10-01,676500
2023-01-01,624700
2023-04-01,623400
2023-07-01,593100
2023-10-01,589500
2024-01-01,621600
2024-04-01,608300
2024-07-01,616600
2024-10-01,615300
